Crop,Temp_low(C),Temp_high(C),Rain_low(cm),Rain_high(cm),Humidity_low(%),Humidity_high(%),Elevation(m),Loamy,Fertile,Suitable
Black Pepper,21.0,31.9,17.9,27.5,64.0,77.1,569,0,1,1
Black Pepper,18.2,31.7,19.7,33.6,60.6,78.4,1274,1,0,1
Black Pepper,23.5,28.8,21.2,28.2,70.6,83.4,707,0,1,0
Black Pepper,19.6,34.0,19.1,39.0,66.8,86.5,1103,0,1,1
Black Pepper,22.0,33.1,19.3,40.2,61.5,84.3,189,1,1,1
Black Pepper,19.9,28.5,18.3,27.1,70.6,78.5,624,0,1,1
Black Pepper,21.1,33.0,20.6,35.1,60.5,75.0,1476,0,0,0
Black Pepper,21.3,31.8,23.5,41.3,73.1,86.4,1222,1,1,0
Black Pepper,19.1,28.6,17.0,43.7,62.1,89.8,282,0,1,1
Black Pepper,23.8,31.2,24.3,35.3,61.9,87.1,453,1,1,0
Black Pepper,22.7,31.4,21.9,44.0,62.6,81.9,528,1,1,1
Black Pepper,23.6,29.2,23.2,35.7,74.4,88.6,993,1,1,1
Black Pepper,23.4,34.6,20.6,32.9,70.4,81.1,1148,1,1,1
Black Pepper,21.6,33.9,22.8,42.0,72.0,82.9,1137,0,1,0
Black Pepper,23.5,32.7,15.2,34.9,66.0,82.2,789,1,1,1
Black Pepper,18.5,31.2,23.2,34.4,65.0,81.7,1226,1,1,1
Black Pepper,19.2,30.9,15.4,34.8,63.5,86.6,684,1,1,1
Black Pepper,18.3,32.6,23.9,41.9,67.2,82.9,230,1,1,1
Black Pepper,20.0,31.8,24.9,41.6,68.3,79.8,868,1,0,1
Black Pepper,20.3,28.4,17.9,33.1,69.5,78.9,1431,1,1,0
Black Pepper,19.6,31.6,17.1,31.7,63.9,75.6,1200,1,0,1
Black Pepper,23.0,33.6,22.7,34.8,74.2,83.7,889,1,0,1
Black Pepper,20.1,31.2,17.5,36.5,62.5,78.4,988,1,1,1
Black Pepper,19.7,28.4,23.7,29.8,74.5,77.2,1399,1,0,1
Black Pepper,21.3,33.5,16.0,40.9,60.2,84.8,671,1,1,1
Black Pepper,18.8,29.4,16.3,34.7,67.2,85.2,531,1,0,0
Black Pepper,22.8,29.8,24.8,31.7,65.0,86.3,1467,1,1,1
Black Pepper,18.4,29.2,21.7,27.1,66.7,82.6,1302,1,0,1
Black Pepper,23.9,30.3,23.5,29.8,68.6,88.4,518,0,0,1
Black Pepper,22.6,33.3,18.2,44.0,66.5,89.0,722,1,1,1
Black Pepper,19.2,31.6,21.8,31.1,66.2,87.1,652,0,1,1
Black Pepper,18.0,29.4,20.9,28.4,71.0,84.5,266,1,1,1
Black Pepper,22.9,34.1,21.0,34.2,70.3,79.6,1439,1,1,1
Black Pepper,22.2,34.2,21.8,31.1,72.5,89.7,636,0,1,0
Black Pepper,22.4,34.1,20.8,25.7,63.7,79.1,1319,1,0,1
Black Pepper,22.6,29.7,19.3,31.5,69.1,78.0,325,1,1,1
Black Pepper,18.4,31.2,17.8,35.9,68.8,81.6,844,0,0,1
Black Pepper,20.2,34.9,22.7,36.0,65.5,75.9,85,1,1,0
Black Pepper,18.7,33.4,17.3,32.1,67.3,89.7,1158,1,0,1
Black Pepper,23.2,28.2,21.9,33.9,64.7,83.8,892,0,1,1
Black Pepper,21.7,28.5,17.3,44.3,62.1,83.4,957,1,1,1
Black Pepper,20.0,31.2,21.3,32.5,63.2,84.8,125,1,1,1
Black Pepper,18.4,34.4,22.5,30.2,61.6,82.5,356,0,1,1
Black Pepper,19.9,31.8,17.2,29.9,70.2,75.5,158,0,1,1
Black Pepper,20.0,31.5,15.6,34.2,69.9,84.2,469,1,1,1
Black Pepper,22.4,28.7,16.3,40.2,74.3,85.7,960,1,1,1
Black Pepper,21.8,32.6,21.1,29.1,70.9,81.3,871,0,1,0
Black Pepper,23.3,33.8,23.5,39.2,60.8,86.4,938,0,1,1
Black Pepper,20.8,30.7,15.4,25.4,73.3,78.4,846,1,1,0
Black Pepper,18.7,33.4,22.3,33.4,72.9,78.3,446,1,1,1
Black Pepper,22.3,34.8,18.4,40.5,66.6,77.4,405,1,1,1
Black Pepper,22.6,29.4,19.8,31.8,68.8,80.6,249,1,1,0
Black Pepper,21.4,31.7,24.3,36.3,74.6,87.7,1281,1,1,1
Black Pepper,22.6,30.0,18.3,29.1,68.0,87.4,944,1,1,1
Black Pepper,21.0,33.5,19.7,39.8,73.6,80.7,320,1,1,1
Black Pepper,21.1,32.0,15.1,26.0,61.2,83.8,307,1,1,0
Black Pepper,20.6,32.4,15.8,42.1,62.9,85.8,1316,1,1,1
Black Pepper,18.2,33.6,17.6,29.0,66.6,78.6,1127,1,1,1
Black Pepper,18.6,30.8,15.3,42.5,68.8,77.5,1006,1,1,0
Black Pepper,18.2,34.4,21.3,32.1,72.2,89.6,640,1,1,0
Black Pepper,21.8,31.7,19.3,39.5,74.8,84.3,430,1,0,1
Black Pepper,19.9,29.1,20.5,31.4,65.8,89.7,1470,0,1,0
Black Pepper,21.1,32.9,16.7,43.1,60.7,80.1,1206,1,0,0
Black Pepper,23.4,33.6,18.0,27.5,72.0,85.5,488,1,1,1
Black Pepper,19.5,30.2,21.6,28.6,69.1,78.3,1279,0,1,1
Black Pepper,20.5,34.0,24.7,34.9,63.0,78.9,1150,1,1,0
Black Pepper,22.5,34.3,15.5,26.6,67.4,82.7,481,0,1,1
Black Pepper,19.4,29.9,23.9,28.9,71.1,79.8,669,1,0,1
Black Pepper,18.5,34.9,20.8,43.9,71.6,77.5,320,0,0,0
Black Pepper,19.7,29.0,20.6,44.5,67.5,78.9,211,1,1,1
Black Pepper,19.0,29.4,20.0,32.5,64.6,75.5,1098,1,1,0
Black Pepper,23.6,29.3,15.7,43.5,74.6,85.6,438,0,1,0
Black Pepper,22.8,34.3,15.9,35.9,70.0,82.4,1239,1,1,1
Black Pepper,21.8,32.6,21.0,30.4,66.1,76.4,1494,0,1,0
Black Pepper,23.2,29.1,18.4,39.0,64.2,77.6,161,1,1,0
Black Pepper,22.8,31.1,24.2,38.2,71.0,76.5,736,1,1,1
Black Pepper,19.1,32.3,19.1,44.8,63.6,84.2,1213,0,1,1
Black Pepper,23.4,28.6,16.4,30.3,62.6,76.4,1194,1,1,1
Black Pepper,21.2,34.2,22.1,38.4,67.9,86.3,1152,0,1,1
Black Pepper,22.8,33.6,17.9,26.0,64.3,75.3,556,1,1,1
Black Pepper,23.4,31.5,20.3,27.3,69.4,78.7,708,1,1,1
Black Pepper,19.9,34.8,22.0,25.1,61.8,88.4,913,1,1,1
Black Pepper,18.7,30.9,24.0,45.0,69.8,85.8,1462,1,1,1
Black Pepper,19.4,34.9,22.9,41.0,64.2,76.1,525,1,1,1
Black Pepper,20.6,32.7,21.8,40.7,60.0,87.3,1389,1,1,0
Black Pepper,22.9,32.4,21.8,35.2,61.9,82.4,441,1,1,1
Black Pepper,23.2,29.2,24.5,31.0,74.0,87.7,1484,0,1,1
Black Pepper,18.0,34.2,18.0,28.0,73.0,84.0,1022,1,1,1
Black Pepper,21.1,31.0,15.0,30.7,63.5,85.2,722,0,1,1
Black Pepper,20.5,29.1,17.7,32.5,71.7,89.9,939,0,1,1
Black Pepper,19.3,28.1,17.2,40.1,69.1,78.5,445,1,1,1
Black Pepper,18.7,31.9,21.6,35.8,74.6,84.4,448,1,1,1
Black Pepper,20.0,31.7,21.3,26.5,65.6,81.9,215,1,0,1
Black Pepper,23.7,33.0,20.9,25.4,70.2,75.6,215,1,1,1
Black Pepper,19.9,34.2,15.2,27.0,61.0,75.2,554,1,1,1
Black Pepper,21.1,28.6,22.3,33.2,65.9,76.8,1156,1,1,1
Black Pepper,22.2,33.1,18.2,43.7,74.5,84.7,932,0,1,1
Black Pepper,20.2,29.3,21.7,37.7,68.1,83.5,199,1,1,0
Black Pepper,23.8,34.0,20.6,41.0,64.3,83.3,1286,1,0,1
Black Pepper,23.8,33.7,18.4,34.3,61.8,75.5,922,1,1,1
Black Pepper,19.5,31.8,16.3,32.2,70.6,82.0,1443,1,0,1
Black Pepper,21.0,33.0,15.9,27.2,69.7,88.9,1022,1,1,1
Black Pepper,19.8,30.2,23.3,42.5,65.6,81.0,304,1,1,1
Black Pepper,19.7,31.3,24.2,40.7,74.3,84.4,737,1,1,0
Black Pepper,18.2,33.8,21.5,28.4,60.3,86.7,990,1,0,1
Black Pepper,21.7,31.2,16.0,35.2,64.6,86.8,91,1,1,1
Black Pepper,21.0,30.5,19.0,34.7,73.8,82.8,72,0,1,1
Black Pepper,18.3,31.5,22.3,37.5,64.8,87.9,238,0,1,1
Black Pepper,19.7,33.8,22.8,43.9,63.8,80.9,415,0,1,1
Black Pepper,23.4,30.3,16.2,36.6,68.0,88.3,673,1,1,1
Black Pepper,19.4,29.2,15.0,35.8,72.4,78.6,757,1,1,1
Black Pepper,18.9,33.0,22.1,26.0,61.5,79.2,250,1,1,1
Black Pepper,20.9,33.8,18.6,26.3,74.1,75.8,1026,0,1,0
Black Pepper,23.9,28.7,17.5,28.7,71.9,86.9,914,1,1,1
Black Pepper,19.5,29.7,15.1,25.6,62.7,81.3,477,1,1,1
Black Pepper,22.0,29.0,20.4,39.9,70.7,78.4,70,1,1,1
Black Pepper,22.6,30.4,23.5,39.5,65.8,78.5,163,1,0,0
Black Pepper,19.4,31.2,24.6,27.7,66.0,88.5,618,1,1,1
Black Pepper,22.4,33.2,20.7,41.7,71.7,87.5,273,0,0,1
Black Pepper,20.2,32.6,20.1,28.1,74.4,83.3,596,0,1,1
Black Pepper,21.8,32.3,15.9,31.0,61.9,84.2,961,0,1,1
Black Pepper,21.8,30.5,20.5,30.0,66.3,82.1,843,1,1,1
Black Pepper,21.2,33.9,18.8,32.4,67.2,80.9,385,0,1,1
Black Pepper,18.5,31.3,21.1,30.1,65.6,88.7,549,1,1,1
Black Pepper,23.0,34.9,18.9,34.8,65.4,76.9,940,1,1,1
Black Pepper,19.9,32.4,17.4,33.1,60.8,81.3,1298,1,1,1
Black Pepper,19.1,28.9,15.9,44.7,70.3,80.2,1142,1,1,1
Black Pepper,18.2,32.7,18.1,26.1,66.5,82.5,852,0,1,0
Black Pepper,21.5,30.3,16.0,27.8,62.9,81.9,575,1,1,1
Black Pepper,22.1,32.8,16.8,26.1,72.2,82.8,579,1,0,1
Black Pepper,18.1,28.5,24.9,37.5,72.0,77.1,1325,0,1,1
Black Pepper,21.1,29.2,19.4,26.1,67.3,82.7,107,1,1,0
Black Pepper,19.4,34.0,20.3,41.7,64.5,78.6,1483,1,1,0
Black Pepper,21.9,29.6,23.7,35.2,69.6,77.8,1013,1,1,1
Black Pepper,19.0,33.9,25.0,35.5,64.3,76.0,1038,1,1,1
Black Pepper,22.1,30.0,20.8,36.2,63.5,86.4,105,1,1,1
Black Pepper,20.3,32.5,23.1,28.4,71.0,81.4,928,1,1,1
Black Pepper,23.6,32.9,18.3,29.0,60.6,84.4,753,0,1,1
Black Pepper,18.8,31.6,18.1,31.4,61.4,85.9,203,0,0,1
Black Pepper,20.0,30.1,19.0,36.9,60.1,85.2,453,0,1,1
Black Pepper,18.7,29.5,21.7,29.2,62.3,82.1,1341,1,1,0
Black Pepper,23.5,28.2,21.8,27.3,61.0,80.8,847,1,1,0
Black Pepper,23.3,30.1,18.2,44.4,74.9,80.6,649,1,1,0
Black Pepper,19.5,32.6,16.3,25.4,64.3,84.6,155,1,0,1
Black Pepper,22.0,34.6,21.3,41.1,62.2,82.4,1085,1,1,0
Black Pepper,22.9,34.1,16.3,40.8,63.6,87.7,1069,1,1,0
Black Pepper,21.3,33.4,20.8,30.9,74.0,88.1,940,1,1,1
Black Pepper,21.2,33.5,21.9,27.7,67.8,77.6,790,0,1,0
Black Pepper,19.5,32.7,22.0,27.9,65.5,77.0,679,1,1,1
Black Pepper,18.6,29.8,22.5,38.9,73.1,84.5,910,1,1,1
Black Pepper,23.4,34.4,23.7,37.9,65.9,79.5,388,0,0,1
Black Pepper,23.4,32.7,20.0,40.7,65.0,75.3,1415,1,1,0
Black Pepper,21.8,31.9,22.3,43.7,63.1,88.3,904,1,1,0
Black Pepper,20.0,28.8,21.2,38.8,65.7,78.4,501,0,1,1
Black Pepper,20.1,31.1,16.9,28.1,64.8,88.9,702,0,1,1
Black Pepper,22.4,31.2,15.3,29.9,70.2,85.8,1218,0,1,1
Black Pepper,23.4,34.1,17.8,41.8,64.3,86.4,284,1,0,1
Black Pepper,23.3,31.8,19.4,29.2,68.7,78.0,475,1,1,1
Black Pepper,22.7,30.7,21.2,26.5,61.0,78.5,1035,1,1,1
Black Pepper,21.9,34.8,23.5,39.1,62.9,82.8,507,1,1,1
Black Pepper,18.5,28.8,17.0,33.1,66.1,77.6,1199,1,1,1
Black Pepper,19.0,31.0,16.3,43.4,74.1,79.6,239,1,1,1
Black Pepper,23.4,28.3,24.6,38.0,65.7,79.8,1156,1,1,1
Black Pepper,21.6,33.2,16.1,26.8,70.0,77.4,149,1,1,0
Black Pepper,18.1,34.4,19.8,44.0,63.8,78.1,68,1,0,1
Black Pepper,18.6,30.0,20.9,30.2,61.9,86.8,1352,1,1,1
Black Pepper,22.0,34.0,20.4,31.7,60.9,77.5,893,1,1,1
Black Pepper,18.0,30.0,15.9,33.0,64.6,75.4,560,1,1,1
Black Pepper,19.0,34.4,15.6,26.0,62.4,84.4,387,0,1,1
Black Pepper,21.3,33.3,16.1,34.9,62.6,89.6,944,0,1,1
Black Pepper,22.2,33.6,20.9,27.5,71.4,80.0,788,1,0,0
Black Pepper,21.9,28.1,20.4,33.0,60.2,76.8,1488,0,1,0
Black Pepper,19.3,34.7,17.3,32.0,68.4,83.6,1476,1,1,1
Black Pepper,22.3,33.1,21.4,40.5,65.7,88.6,971,1,1,1
Black Pepper,19.4,30.1,23.2,41.1,67.6,86.8,692,0,1,1
Black Pepper,20.0,33.8,15.4,28.1,68.4,84.3,762,0,0,1
Black Pepper,22.5,30.0,20.0,32.3,64.7,79.7,1040,0,1,0
Black Pepper,21.9,34.1,21.9,32.5,64.4,83.1,197,0,1,0
Black Pepper,23.1,28.8,17.5,28.0,71.0,76.4,526,1,1,1
Black Pepper,21.9,32.9,18.1,41.0,73.1,85.2,159,1,1,1
Black Pepper,21.4,31.8,21.1,39.1,62.9,85.9,156,1,1,1
Black Pepper,18.6,28.7,24.0,28.8,61.5,89.5,334,1,1,1
Black Pepper,20.2,29.7,23.1,32.3,73.5,78.9,754,1,1,1
Black Pepper,19.6,28.1,20.8,27.1,65.2,75.3,1188,1,0,0
Black Pepper,19.5,31.3,22.3,37.6,68.3,83.2,754,1,1,1
Black Pepper,23.8,30.1,18.6,27.4,65.4,85.6,536,1,0,1
Black Pepper,20.4,32.2,21.4,44.7,61.9,86.9,169,0,1,1
Black Pepper,23.4,30.1,19.7,40.6,68.8,77.9,848,0,0,1
Black Pepper,21.8,30.1,16.9,32.8,67.9,78.9,443,0,1,0
Black Pepper,22.8,33.2,22.0,36.6,63.0,82.7,942,0,0,0
Black Pepper,21.0,28.3,20.6,43.2,66.8,80.0,1467,1,0,1
Black Pepper,21.5,34.3,18.6,36.1,72.0,87.9,211,0,1,1
Black Pepper,21.0,34.0,24.1,28.5,68.9,82.1,358,1,1,1
Black Pepper,19.2,32.7,15.2,32.6,61.5,87.0,736,1,1,0
Black Pepper,22.3,32.2,18.2,41.9,68.2,83.7,1454,1,1,1
Black Pepper,19.7,34.2,15.6,37.9,70.5,86.6,1169,1,0,1
Black Pepper,18.1,29.3,22.7,38.0,71.9,80.0,1352,0,1,0
Black Pepper,21.9,28.6,22.0,42.3,69.4,87.5,534,1,1,0
Black Pepper,19.1,29.7,18.3,42.9,62.3,79.1,1488,0,1,1
Black Pepper,23.6,33.6,21.8,43.4,70.7,83.2,199,1,1,1
Black Pepper,23.7,28.2,19.0,26.9,70.2,78.2,127,1,1,1
Black Pepper,23.5,32.1,22.6,35.9,60.4,82.1,1291,1,1,0
Black Pepper,20.2,35.0,19.5,39.8,66.2,79.8,1395,1,1,0
Black Pepper,18.1,34.0,19.1,40.1,65.0,79.0,181,1,1,1
Black Pepper,23.6,31.7,24.3,37.1,70.0,89.5,214,0,1,1
Black Pepper,20.6,28.4,17.5,28.3,63.2,77.4,98,0,1,0
Black Pepper,23.8,33.8,16.2,40.9,68.9,86.8,202,1,1,1
Black Pepper,23.8,32.2,20.8,39.4,73.7,89.8,354,1,1,0
Black Pepper,23.1,28.8,24.7,26.7,72.0,75.3,1457,1,0,0
Black Pepper,19.8,28.7,18.8,34.3,73.8,85.5,1018,0,1,0
Black Pepper,20.3,34.4,15.6,28.5,74.7,78.8,1179,1,1,0
Black Pepper,23.1,32.7,18.4,31.7,60.2,75.6,1175,1,0,1
Black Pepper,19.9,33.8,20.1,25.4,69.3,81.0,826,1,1,1
Black Pepper,19.0,34.2,16.6,33.0,66.2,89.0,1206,1,0,1
Black Pepper,21.3,32.0,21.6,36.0,72.9,75.2,914,1,1,0
Black Pepper,23.6,31.6,25.0,37.4,63.8,83.8,506,0,1,0
Black Pepper,22.2,31.0,19.5,38.3,74.7,82.5,864,1,0,1
Black Pepper,21.4,30.2,18.5,41.7,69.2,88.1,824,0,0,1
Black Pepper,18.6,31.0,19.0,29.3,71.9,76.3,1244,0,1,1
Black Pepper,21.7,33.4,16.2,27.4,61.3,85.2,1474,1,1,1
Black Pepper,23.9,32.2,23.8,42.0,62.8,85.2,646,1,1,1
Black Pepper,18.8,34.2,19.1,28.1,71.4,85.0,1157,1,1,0
Black Pepper,21.1,31.1,18.9,44.5,60.3,89.1,195,1,1,1
Black Pepper,23.3,32.2,21.6,41.9,72.3,87.3,1176,1,0,1
Black Pepper,22.4,32.4,19.4,35.0,60.2,75.6,589,0,1,1
Black Pepper,22.2,32.1,21.5,44.6,69.9,82.1,107,1,1,1
Black Pepper,22.2,32.9,15.6,26.9,65.5,81.0,577,0,1,1
Black Pepper,20.2,29.7,23.1,31.1,69.2,79.7,935,1,1,0
Black Pepper,19.8,31.6,24.4,37.8,70.4,81.8,223,1,1,1
Black Pepper,22.9,28.7,21.5,32.0,65.1,80.8,1390,1,1,0
Black Pepper,22.9,30.7,24.5,43.6,61.6,81.5,163,1,1,1
Black Pepper,23.2,31.4,16.5,26.3,61.0,89.7,1399,0,1,1
Black Pepper,23.5,32.6,19.8,36.0,68.8,76.3,1075,1,1,1
Black Pepper,21.1,34.7,21.0,36.8,67.8,88.8,528,0,1,1
Black Pepper,21.0,32.2,20.8,38.1,71.1,82.2,617,0,0,1
Black Pepper,22.8,33.2,19.0,30.1,67.6,84.4,1124,0,1,0
Black Pepper,21.9,31.5,18.4,32.3,66.3,87.5,922,1,1,1
Black Pepper,22.2,32.4,16.3,41.9,66.0,80.4,1024,1,0,0
Black Pepper,22.8,28.5,18.9,28.9,60.4,81.5,614,1,1,1
Black Pepper,23.3,29.8,16.6,41.5,65.0,81.1,757,1,1,1
Black Pepper,20.0,30.5,22.3,36.3,74.6,80.6,1485,1,1,1
Black Pepper,20.3,31.3,17.1,40.2,73.1,88.9,360,1,1,0
Black Pepper,18.6,28.3,15.6,39.3,64.9,87.4,656,1,1,1
Black Pepper,21.5,29.0,20.5,29.2,68.8,76.6,473,1,0,1
Black Pepper,18.2,29.9,21.0,36.4,72.7,76.6,1159,1,1,1
Black Pepper,20.8,34.8,23.7,42.4,66.6,81.4,1158,0,1,0
Black Pepper,21.3,30.3,20.8,33.6,60.3,76.5,474,1,1,1
Black Pepper,19.7,31.4,18.5,44.3,61.1,84.3,168,1,0,1
Black Pepper,21.5,29.4,23.0,34.0,67.7,77.2,67,0,0,0
Black Pepper,18.2,32.3,20.4,27.9,74.5,82.8,670,1,1,1
Black Pepper,18.2,30.0,15.8,32.8,70.4,75.1,645,0,0,1
Black Pepper,22.9,29.4,20.7,44.0,61.1,79.7,1483,0,1,1
Black Pepper,20.2,31.6,24.1,31.4,62.8,85.2,731,0,1,1
Black Pepper,18.8,28.0,19.0,42.4,71.6,82.3,422,1,1,1
Black Pepper,21.1,28.1,18.0,42.6,72.6,89.7,1342,1,1,1
Black Pepper,22.6,29.5,16.4,32.0,69.3,88.1,762,1,1,0
Black Pepper,19.3,28.3,16.5,26.7,69.7,80.4,919,0,1,1
Black Pepper,21.7,28.8,19.3,39.5,60.4,75.7,189,1,1,0
Black Pepper,18.5,30.4,21.0,31.2,72.4,87.7,605,1,1,1
Black Pepper,18.3,33.6,15.8,40.7,71.8,88.7,1419,0,1,1
Black Pepper,21.2,32.0,24.4,33.9,63.9,87.3,905,1,1,0
Black Pepper,21.2,31.6,22.6,34.7,70.6,76.9,550,0,1,0
Black Pepper,21.8,30.1,20.9,40.6,63.2,90.0,957,0,1,1
Black Pepper,22.4,34.5,23.3,32.6,60.6,78.9,1370,1,1,1
Black Pepper,23.9,30.8,15.8,33.9,63.0,85.9,447,1,1,1
Black Pepper,21.1,28.6,19.8,32.5,62.7,88.6,782,0,1,1
Black Pepper,19.9,32.3,21.3,32.3,65.1,78.5,1440,0,0,1
Black Pepper,22.8,28.8,23.3,35.5,66.3,88.6,300,0,1,1
Black Pepper,19.6,30.4,22.8,41.2,67.6,79.6,1094,0,1,1
Black Pepper,20.6,31.6,17.8,32.2,67.2,89.6,941,0,1,1
Black Pepper,18.5,34.1,24.4,35.5,64.1,79.2,1036,1,1,1
Black Pepper,18.2,31.5,16.2,38.4,60.4,89.3,559,1,0,1
Black Pepper,23.8,32.9,23.8,30.4,69.1,75.8,505,1,1,0
Black Pepper,23.0,34.9,24.7,30.6,65.9,85.6,1042,1,0,1
Black Pepper,22.2,28.9,16.8,43.7,64.5,83.0,363,1,1,1
Black Pepper,20.5,29.9,22.2,39.5,73.0,82.2,658,0,1,0
Black Pepper,19.0,30.8,15.4,36.5,71.2,78.4,323,0,1,1
Black Pepper,18.9,31.0,19.1,38.0,72.9,85.6,62,1,1,1
Black Pepper,19.5,30.9,20.2,25.6,67.4,77.9,1457,0,1,0
Black Pepper,21.3,34.4,20.8,37.4,62.0,83.3,676,0,1,0
Black Pepper,22.3,33.0,24.4,35.2,70.4,78.8,1456,0,1,1
Black Pepper,22.0,32.3,21.7,35.9,63.1,89.3,253,1,1,1
Black Pepper,19.7,30.2,19.8,32.2,66.6,75.4,902,1,1,0
Black Pepper,23.7,33.8,23.1,26.6,61.0,78.0,341,1,1,1
Black Pepper,22.4,34.7,24.5,28.9,72.4,78.6,1196,1,1,1
Black Pepper,21.3,33.7,15.2,44.0,61.9,81.2,1186,1,0,1
Black Pepper,21.7,28.0,24.8,33.2,73.5,78.5,213,1,0,0
Black Pepper,20.5,32.5,15.9,34.3,73.0,82.4,1372,0,1,0
Black Pepper,19.5,28.4,23.1,26.1,67.0,88.1,332,0,1,1
Black Pepper,20.1,29.8,17.8,25.8,71.2,85.7,939,0,0,1
Black Pepper,22.5,28.4,16.3,39.3,69.3,83.7,1479,0,1,1
Black Pepper,18.1,32.2,19.4,35.8,72.0,76.3,1329,0,1,1
Black Pepper,18.7,32.8,21.4,35.2,66.5,85.4,1437,0,1,1
Black Pepper,18.3,28.8,18.8,29.9,71.8,77.5,547,1,1,1
Black Pepper,18.2,30.7,15.5,39.9,66.9,86.8,203,1,1,1
Black Pepper,23.1,31.2,21.0,28.4,74.1,78.8,323,1,1,1
Black Pepper,22.2,30.6,24.0,28.8,67.3,81.3,776,1,1,0
Black Pepper,20.8,28.8,18.8,34.2,66.9,80.3,1200,1,1,1
Black Pepper,18.6,30.9,17.2,30.7,71.8,87.9,268,1,1,1
Black Pepper,20.9,33.3,19.4,29.9,72.3,76.9,1007,1,0,1
Black Pepper,20.8,28.5,15.5,37.9,68.3,83.5,519,0,1,1
Black Pepper,19.0,28.6,23.2,38.0,62.7,77.1,545,0,1,1
Black Pepper,20.6,30.5,23.3,41.5,67.0,85.6,1010,1,1,1
Black Pepper,20.4,34.6,20.9,33.4,74.5,88.6,727,1,1,1
Black Pepper,21.7,32.7,18.5,26.5,71.3,81.5,1227,0,1,1
Black Pepper,21.8,32.8,23.0,30.5,72.2,82.3,276,0,1,1
Black Pepper,18.3,30.5,20.5,44.6,60.5,88.9,1195,1,0,1
Black Pepper,20.2,32.2,23.3,36.9,67.0,82.8,143,0,1,1
Black Pepper,21.8,28.1,21.3,39.2,69.7,82.3,331,1,0,1
Black Pepper,21.0,32.5,22.8,25.1,72.5,83.7,1001,0,0,1
